product_id,comment,comment_clean,rating
honor-x8b,đừng mua không có linh kiện,đừng mua không linh_kiện,1
honor-x8b,máy sao cũng được ghét nhất cái zalo vui nó báo hiện tên cuộc gọi,máy ghét zalo vui báo hiện cuộc_gọi,3
honor-x8b,chiếc điện thoại mỏng nhất tôi từng dùng cũng là chip trên máy này mượt hơn,điện_thoại mỏng chip máy mượt,5
honor-x8b,sao hôm tôi mua lại không được tặng tai nghe như trong giới thiệu nhỉ hôm đấy,hôm mua không tặng tai giới_thiệu hôm đấy,4
honor-x8b,em mua được tuần trả lại mất bao nhiêu ạ,mua tuần trả bao nhiêu,3
honor-x8b,thế giới di động có cường lực của honor không ạ,thế_giới di_động cường_lực honor không,4
honor-x8b,không có nhưng rất tiếc honor quá lạc hậu so với nhiều hãng hiệu năng tạm,không tiếc honor lạc_hậu hãng hiệu_năng tạm,4
honor-x8b,mua online bên này báo ngoài tp ra thì hàng không có full box máy nhìn,mua online báo tp hàng_không full box máy,2
honor-x8b,tốt nhưng máy này có phím ảo sao màn hình vậy,tốt máy phím ảo màn_hình,5
honor-x8b,máy này không có hổ trợ thẻ nhớ ngoài hả store,máy không hổ trợ thẻ_nhớ hả store,4
honor-x8b,máy dùng rất ngon mượt rất đẹp không hài lòng lắm khi nhân viên,máy ngon mượt đẹp không hài lắm nhân_viên,5
honor-x8b,trao đổi khi điện thoại mình bị lỗi không gửi nhận tin nhắn cuộc gọi được,trao_đổi điện_thoại lỗi không gửi tin_nhắn cuộc_gọi,5
honor-x8b,chọn màu tối ưu tốt thật thiết kế đẹp bộ nhớ cao thao,màu tối_ưu tốt thiết_kế đẹp bộ_nhớ thao,5
honor-x8b,nhanh hết pin sạc đầy pin để ngày không dùng gì mà pin gần,nhanh hết pin sạc pin không pin,3
honor-x8b,mới mua được tuần có đổi trả được không ạ,mới mua tuần đổi trả không,3
honor-x8b,máy ok dùng rất thích chụp hình đẹp với cái giá hơn 6tr thì,máy ok chụp hình đẹp giá,5
honor-x8b,máy mới dùng mà loa bị rè nghe không rõ lỗi do điện thoại,máy mới loa rè không lỗi điện_thoại,3
honor-x8b,mạng yếu hay mất sóng đổi máy khác được không,mạng yếu sóng đổi máy không,1
honor-x8b,mọi thứ đều ok nha chức năng ổn áp lắm điểm trừ duy nhất là quay,ok nha chức_năng ổn_áp lắm điểm trừ duy_nhất,4
honor-x8b,nhìn qua mọi người cứ hỏi mới mua iphone à sau tuần sử dụng thấy mọi thứ,mới mua iphone tuần,5
honor-x8b,mình mới mua ngày nhưng thấy không hài lòng camera thấy kém xem ảnh bị giật,mới mua không hài camera kém ảnh giật,3
honor-x8b,tuyệt vời với số tiền hơn trẻ cô chủ cửa hàng rất đáng yêu,tuyệt_vời tiền trẻ chủ cửa_hàng đáng_yêu,5
honor-x8b,máy chạy trong tam gia nay qua on moi man hinh dep pin lion,máy chạy trong_tam gia on moi man_hinh dep pin lion,5
honor-x8b,pin hết nhanh đã nhiệm kém,pin hết nhanh nhiệm kém,3
honor-x8b,pin không bằng các loại cùng tầm nhưng sài cũng không khác mấy mà mình thấy,pin không tầm sài không mấy,5
honor-x8b,máy chạy mượt pin sài bình thường camera đẹp màn hình hoàn,máy chạy mượt pin sài bình_thường camera đẹp màn_hình hoàn,4
honor-x8b,mới mua được ngày sạc 35w chậm hơn 33w để qua đêm tụt,mới mua sạc 35 w chậm 33 w đêm tụt,3
honor-x8b,em mới mua máy dùng được ngày mà em muốn giả lại có được không ạ,mới mua máy giả không,3
honor-x8b,máy đẹp rất mượt rất tốt nên mua,máy đẹp mượt tốt mua,5
honor-x8b,em mới mua được tháng bán lại thì mất bao nhiêu ạ,mới mua bao nhiêu,5
honor-x8b,mình mới mua chưa được tháng nhưng bị rơi vỡ có đổi được không,mới mua rơi vỡ đổi không,5
honor-x8b,cho hỏi đã dán màn hình luôn chưa vậy ạ,dán màn_hình,4
honor-x8b,ok,ok,5
honor-x8b,nói chung máy mượt nhưng chỉnh độ sáng tự động mà ra ngoài trời nắng trở vào,máy mượt chỉnh độ tự_động ngoài_trời nắng trở,3
honor-x8b,điện thoại xài rất ok trong tầm giá mọi người nên mua để trải nghiệm,điện_thoại xài ok tầm giá mua trải_nghiệm,5
honor-x8b,mấy em đẹp mấy em đẹp,mấy đẹp mấy đẹp,5
honor-x8b,máy có tính năng nc,máy tính_năng nc,4
honor-x8b,mua được gần tháng máy khá ok mạnh mượt sạc nhanh,mua máy khá ok mượt sạc nhanh,5
honor-x8b,đã mua sản phẩm này sử dụng thấy rất ổn app mượt nhẹ tay,mua sản_phẩm ổn app mượt nhẹ,5
honor-x8b,mình mới mua được hơn tuần gọi điện zalo messenger rung lắc mặc dù mạng wifi,mới mua tuần gọi điện zalo messenger rung lắc mặc mạng wifi,3
iphone-12,mua máy lướt được hôm đã lỗi loa ngoài lúc bán nhân viên không,mua máy lướt hôm lỗi loa nhân_viên không,1
iphone-12,mới mua mà dễ nóng quá khi sạc và nhất là bật máy ảnh vài phút là,mới mua dễ nóng sạc bật máy_ảnh phút,2
iphone-12,tôi mới dùng khoảng tháng mong thế giới di động hướng dẫn cách dùng sim iphone tôi đang dùng sim vật lý muốn dùng thêm sim nữa cho tiện công việc,mới mong thế_giới di_động hướng_dẫn sim iphone sim vật_lý sim tiện công_việc,5
iphone-12,xài lúc vừa ra tới hầm quá ok,xài hầm ok,5
iphone-12,tạm ổn nhưng pin hôm mua còn về sài hôm thì tụt xuống còn lại tất cả đều ok,tạm ổn pin hôm mua sài hôm tụt xuống ok,3
iphone-12,bên mình có bán airtag đi kèm không ạ,airtag đi kèm không,4
iphone-12,hàng trưng bày sạc lần mà pin tụt còn,hàng trưng_bày sạc pin tụt,1
iphone-12,mặt kính cảm ứng cường lực nhưng không chống nước dùng được tháng màn hình nước không còn chỗ trống thua màn hình sạch sẽ,mặt_kính cảm_ứng cường_lực không chống nước_dùng màn_hình không chỗ trống thua màn_hình sạch_sẽ,1
iphone-12,hiện tại sức tốt,sức tốt,4
iphone-12,sản phẩm sài ok lắm,sản_phẩm sài ok lắm,5
iphone-12,mới dùng được tuần máy vẫn ổn định thời gian dài hơn thì chưa biết thế nào nói chung là đồ điện tử thì máy hơn không,mới tuần máy ổn_định thời_gian đồ điện_tử máy không,4
iphone-12,điện thoại mua được gần tháng lúc trước dùng bình thường nhưng gần đây chỉ lướt fb cũng rất nóng mong được phản hồi,điện_thoại mua bình_thường lướt nóng mong phản_hồi,4
iphone-12,mai mốt mang đi bảo hành đây tự nhiên sọc màn cho dù không rơi,mai_mốt đi bảo hành tự_nhiên sọc màn không rơi,1
iphone-12,sản phẩm tốt,sản_phẩm tốt,5
iphone-12,mới mua được tháng bây giờ phát hiện ra bức xạ vậy ra đổi có được không,mới mua phát_hiện bức_xạ đổi không,2
iphone-12,hàng rất ok,hàng ok,5
iphone-12,ok,ok,5
iphone-12,ok tốt,ok tốt,5
iphone-12,tốt,tốt,5
iphone-12,đẹp lắm ạ máy đẹp thank shop,đẹp lắm máy đẹp thank shop,5
iphone-12,màu đẹp dùng rất ok,màu đẹp ok,5
iphone-12,ưng cái màu máy,ưng màu máy,5
iphone-12,đang xài bình thường máy ngoại hình phù hợp con gái hơn nam cầm cảm giác hơi nhẹ tay,xài bình_thường máy ngoại_hình con_gái nam cầm cảm_giác hơi nhẹ,4
iphone-12,cho mình hỏi dế mình mua bên thế giới di động mà giờ nó bị hư mình có thể đem ra điện máy xanh gửi sửa chữa được chứ,dế mua thế_giới di_động hư thể đem điện_máy xanh gửi sửa_chữa,5
iphone-12,tốt,tốt,5
iphone-12,ok,ok,4
iphone-12,nhanh màn hình không sáng lắm,nhanh màn_hình không lắm,4
iphone-12,tốt,tốt,4
iphone-12,tốt,tốt,5
iphone-12,mới mua được tháng thì xảy ra tình trạng tụt pin qua đêm đã tắt toàn bộ các ứng dụng mạng và bluetooth chả hiểu nổi quá tệ,mới mua xảy tụt pin đêm tắt toàn_bộ ứng_dụng mạng bluetooth chả nổi tệ,2
iphone-12,có dây sạc mà không có củ sạc,dây sạc không củ sạc,3
iphone-12,very good,very good,5
iphone-12,số tốt,tốt,4
iphone-12,ok tốt á,ok tốt,4
iphone-12,hàng ok,hàng ok,5
iphone-12,rất ok,ok,5
iphone-12,do máy trải nghiệm nên màn hơi vàng chút xíu,máy trải_nghiệm màn hơi vàng chút_xíu,3
iphone-12,cám ơn thế giới di động,cám_ơn thế_giới di_động,5
iphone-12,tốt,tốt,5
iphone-12,dùng mượt hơn sau cùng,mượt,4
iphone-12,bắt mạng rất yếu,bắt mạng yếu,2
iphone-12,sản phẩm dùng rất tốt mình không game chỉ quay phim chụp hình như vậy là quá đủ,sản_phẩm tốt không game phim chụp hình_như,5
iphone-12,rất tốt,tốt,5
iphone-12,good,good,5
iphone-12,tốt,tốt,5
iphone-12,tệ pin dại quá,tệ pin dại,1
iphone-12,sản phẩm rất đẹp dùng mượt chưa thấy lỗi nào,sản_phẩm đẹp mượt lỗi,5
iphone-12,ok,ok,5
iphone-12,sản phẩm chất lượng,sản_phẩm chất_lượng,4
iphone-12,sản phẩm này tốt,sản_phẩm tốt,4
iphone-12,đã sử dụng ok không có vấn đề gì,ok không vấn_đề,5
iphone-12,hàng tốt nhé mọi người,hàng tốt,4
iphone-12,ổn mượt,ổn mượt,5
iphone-12,ok,ok,5
iphone-12,pin của điện thoại mới mà như pin bị chai vậy xuống rất nhanh mình rất thất vọng mai mình đem ra shop đổi con khác đây,pin điện_thoại mới pin chai xuống nhanh thất_vọng mai đem shop đổi,2
iphone-12,trải nghiệm thú vị,trải_nghiệm thú_vị,4
iphone-12,chưa thấy lỗi gì,lỗi,4
iphone-12,máy bắt wifi yếu đã đổi trả lần,máy bắt wifi yếu đổi trả,3
iphone-12,sản phẩm tốt,sản_phẩm tốt,4
iphone-12,sản phẩm dùng rất ok,sản_phẩm ok,4
iphone-12,máy lôi đổi khó khăn quá,máy lôi đổi khó_khăn,1
iphone-12,rất tốt,tốt,5
iphone-12,hiện tại mình đang dùng và đang kiểm tra nếu có vấn đề sẽ phản hồi nhé cảm ơn,kiểm_tra vấn_đề phản_hồi,4
iphone-12,sử dụng tốt phục vụ tốt,tốt phục_vụ tốt,5
iphone-12,máy tốt,máy tốt,5
iphone-12,sản phẩm rất tốt mọi người nên dùng thử,sản_phẩm tốt thử,5
iphone-12,tuyệt vời ông mặt trời,tuyệt_vời mặt_trời,5
iphone-12,ok trong tầm giá,ok tầm giá,5
iphone-12,mặc dù hôm nhận hàng thời tiết rất lạnh nhưng các bạn nhân viên giao hàng đúng hẹn và hướng dẫn kích hoạt sản phẩm rất nhiệt tình,mặc hôm hàng thời_tiết lạnh nhân_viên giao hàng hẹn hướng_dẫn kích_hoạt sản_phẩm nhiệt_tình,5
iphone-12,rất ok,ok,5
iphone-12,máy chất lượng tốt hài lòng với dịch vụ,máy chất_lượng tốt hài dịch_vụ,5
iphone-12,điện thoại sài rất ổn,điện_thoại sài ổn,4
iphone-12,hiện tại vẫn chạy bình thường,chạy bình_thường,4
iphone-12,máy xài mượt,máy xài mượt,5
iphone-12,ok,ok,5
iphone-12,thiết kế nhỏ gọn sang trọng chụp hình siêu đẹp mượt mà dễ xài pin xài đủ ngày nhân viên thế giới di động thân thiện chuyên nghiệp,thiết_kế nhỏ gọn sang_trọng chụp hình siêu đẹp mượt_mà dễ xài pin xài nhân_viên thế_giới di_động thân_thiện chuyên_nghiệp,5
iphone-12,nhân viên thân thiện tư vấn nhiệt tình cảm ơn nhân viên đã quảng tùng,nhân_viên thân_thiện tư_vấn nhiệt_tình nhân_viên quảng_tùng,5
iphone-12,đẹp máy siêu mượt nhân viên nhiệt tình,đẹp máy siêu mượt nhân_viên nhiệt_tình,5
iphone-12,máy mới mà màn hình và sau lưng gõ ọp ọp không biết có được đổi máy mới không,máy mới màn_hình lưng gõ ọp ọp không đổi máy mới không,2
iphone-12,cho đến hiện tại mọi thứ vẫn bình thường,bình_thường,4
iphone-12,hiện tại thì tốt,tốt,4
iphone-12,máy dùng rất ok không vết trầy xước đặc biệt quản lý cửa hàng chia sẻ rất chi tiết về sản phẩm,máy ok không vết trầy xước quản_lý cửa_hàng chi_tiết sản_phẩm,5
iphone-12,ok,ok,5
iphone-12,sản phẩm dùng tốt ổn định,sản_phẩm tốt ổn_định,4
iphone-12,ok xài tốt vợ mình rất thích,ok xài tốt vợ thích,5
iphone-12,máy mới mua chưa đầy tháng bị như này là sao trời,máy mới mua trời,2
iphone-12,máy mới nên dùng vẫn ok mỗi tội chưa ok như ip13 ip14 ,máy mới ok tội ok ip13 ip14,5
iphone-12,tốt,tốt,5
iphone-12,tốt,tốt,5
iphone-12,tốt,tốt,4
iphone-12,rất tốt,tốt,5
iphone-12,tốt,tốt,5
iphone-12,máy mới sử dụng năm đã cháy main,máy mới cháy main,1
iphone-12,sản phẩm tốt,sản_phẩm tốt,4
iphone-12,nhân viên nhiệt tình,nhân_viên nhiệt_tình,5
iphone-12,điện thoại mượt chụp hình đẹp giá mắc đập là bể mắt hít không nhận diện được faceid khi đeo khẩu trang,điện_thoại mượt chụp hình đẹp giá mắc đập bể mắt hít không nhận_diện faceid đeo khẩu_trang,4
iphone-12,sưa lại cái máy epo cho chị xong gọi chị lấy,sưa máy epo xong gọi,4
iphone-12,tróc mắt ok chất lượng máy còn thời gian sau chưa biết thế nào phần dịch vụ cài đặt lại máy nhân viên đã hỗ trợ nhưng một số phần mềm chưa khôi phục lại được email googgle phập to,tróc mắt ok chất_lượng máy thời_gian dịch_vụ cài_đặt máy nhân_viên phần_mềm khôi_phục email googgle phập to,4
iphone-12,sản phẩm ok,sản_phẩm ok,4
iphone-12,hoài lòng với sản phẩm đã mua,hoài sản_phẩm mua,5
iphone-12,sản phẩm tốt phục vụ chu đáo,sản_phẩm tốt phục_vụ chu_đáo,5
iphone-12,ok,ok,5
iphone-12,rất tốt,tốt,5
iphone-12,giao nhanh nhân viên nhiệt tình máy đẹp,giao nhanh nhân_viên nhiệt_tình máy đẹp,5
iphone-12,dùng ok,ok,4
iphone-12,vẫn dùng tốt,tốt,5
iphone-12,kate rất hài lòng,kate hài,5
iphone-12,có mua chiếc iphone đã qua sử dụng được nhân viên kiểm tra là chủ cũ mua máy này hồi tháng lúc 20h và trả lại siêu thị 22h nghĩa là chỉ sử dụng khoảng tiếng đồng hồ nhân viên còn miêu tả là khách hàng trước còn chưa đem máy ra khỏi siêu thị hình như là làm hồ sơ trả góp thế nào đó rồi trả lại nhưng không hiểu sao trong máy lại có hình gia đình họ chụp ở công viên còn ngoại quan khung máy thì bong tróc khá nhiều màn hình xước rất nhiều và rất sâu mua về dán cường lực hay dán dẻo pp đều không thể che được các vết xước vì xước quá sâu hỏi nhân viên thì nhân viên bảo là do để trong kho lâu nên bị xước vì xước quá nên giảm thêm 300k thái độ phục vụ của siêu thị thì rất tốt rất hài lòng còn nhân viên tổng đài gọi lại để xác nhận ngày hôm sau thì cách nói chuyện chưa tốt như cảnh sát hỏi cung tội phạm,mua iphone nhân_viên kiểm_tra chủ cũ mua máy hồi 20 h trả siêu_thị 22 h nghĩa tiếng đồng_hồ nhân_viên miêu_tả khách_hàng đem máy siêu_thị hình_như hồ_sơ trả_góp trả không máy hình gia_đình chụp công_viên ngoại_quan khung máy bong tróc khá màn_hình xước sâu mua dán cường_lực dán dẻo pp không thể che vết xước xước sâu nhân_viên nhân_viên bảo kho xước xước giảm thái_độ phục_vụ siêu_thị tốt hài nhân_viên tổng_đài gọi xác_nhận hôm nói_chuyện tốt cảnh_sát hỏi_cung tội_phạm,2
iphone-12,tuyệt vời,tuyệt_vời,5
iphone-12,tốt,tốt,5
iphone-12,cũng tốt mượt mà,tốt mượt_mà,4
iphone-12,rất hài lòng,hài,5
iphone-12,oke,ok,5
iphone-12,rất hài lòng,hài,5
iphone-12,mua điện thoại ở thế giới di động tôi thấy yên tâm,mua điện_thoại thế_giới di_động yên_tâm,4
iphone-12,sản phẩm chính hãng xài rất tốt cảm ứng rất mượt mà mình chọn mua sản phẩm này chỉ 64g nhưng đủ yêu cầu cho riêng mình và được giảm giá nơi cửa hàng hợp tài chánh và ý thích của cá nhân mình tgdđ là cửa hàng tôi tin tưởng nhất khi mua điện thoại hoặc các sản phẩm khác chế độ hậu mãi của cửa hàng rất tốt,sản_phẩm chính_hãng xài tốt cảm_ứng mượt_mà mua sản_phẩm 64 g giảm giá cửa_hàng hợp tài_chánh ý_thích tgdđ cửa_hàng tin_tưởng mua điện_thoại sản_phẩm chế_độ hậu_mãi cửa_hàng tốt,5
iphone-12,tốt,tốt,5
iphone-12,sang,sang,4
iphone-12,sản phẩm rất tốt nhân viên tư vấn rất nhiệt tình,sản_phẩm tốt nhân_viên tư_vấn nhiệt_tình,5
iphone-12,thái độ phục vụ của đtmx rất tốt đắt hơn một số nơi một chút nhưng sao hàng được bảo đảm hơn máy dùng mượt mà xịn xịn,thái_độ phục_vụ đtmx tốt đắt chút hàng bảo_đảm máy mượt_mà xịn xịn,5
iphone-12,tạm ổn pin hơi nhanh hết bù lại sạc nhanh,tạm ổn pin hơi nhanh hết bù sạc nhanh,4
iphone-12,sản phẩm ok ạ,sản_phẩm ok,5
iphone-12,nhân viên nhiệt tình,nhân_viên nhiệt_tình,4
