product_id,comment,rating,source_file,word_count,tokenized_comment
honor-x8b,Đừng mua không có linh kiện.,1,ratings\honor-x8b.csv,6,Đừng mua không có linh_kiện .
honor-x8b,"Máy sao cũng được ghét nhất cái zalo, vui nó báo hiện tên cuộc gọi",3,ratings\honor-x8b.csv,15,"Máy sao cũng được ghét nhất cái zalo , vui nó báo hiện tên cuộc_gọi"
honor-x8b,"Chiếc điện thoại mỏng nhất tôi từng dùng cũng là chip trên máy này, mượt hơn",5,ratings\honor-x8b.csv,16,"Chiếc điện_thoại mỏng nhất tôi từng dùng cũng là chip trên máy này , mượt hơn"
honor-x8b,"Sao hôm tôi mua lại không được tặng tai nghe như trong giới thiệu nhỉ, hôm đấy",4,ratings\honor-x8b.csv,17,"Sao hôm tôi mua lại không được tặng tai nghe như trong giới_thiệu nhỉ , hôm đấy"
honor-x8b,Em mua được tuần trả lại mất bao nhiêu ạ?,3,ratings\honor-x8b.csv,10,Em mua được tuần trả lại mất bao_nhiêu ạ ?
honor-x8b,Thế giới di động có cường lực của Honor 8 không ạ?,4,ratings\honor-x8b.csv,12,Thế_giới di_động có cường_lực của Honor 8 không ạ ?
honor-x8b,"Không có, nhưng rất tiếc honor quá lạc hậu so với nhiều hãng, hiệu năng tạm",4,ratings\honor-x8b.csv,16,"Không có , nhưng rất tiếc_honor quá lạc_hậu so với nhiều hãng , hiệu_năng tạm"
honor-x8b,"Mua online bên này báo ngoài IP ra thì hàng không có full box, máy nhìn tạm",2,ratings\honor-x8b.csv,17,"Mua online bên này báo ngoài IP ra thì hàng không có full_box , máy nhìn tạm"
honor-x8b,"Tốt, nhưng máy này có phím ảo, sao màn hình vậy?",5,ratings\honor-x8b.csv,11,"Tốt , nhưng máy này có phím_ảo , sao màn_hình vậy ?"
honor-x8b,Máy này không có hổ trợ thẻ nhớ ngoài hả Store?,4,ratings\honor-x8b.csv,11,Máy này không có hổ_trợ thẻ nhớ ngoài hả Store ?
honor-x8b,"Máy dùng rất ngon, mượt, rất đẹp, không hài lòng lắm khi nhân viên",5,ratings\honor-x8b.csv,14,"Máy dùng rất ngon , mượt , rất đẹp , không hài_lòng lắm khi nhân_viên"
honor-x8b,"Thế giới di động đổi thay, điện thoại mình bị lỗi không gửi nhận tin nhắn cuộc",5,ratings\honor-x8b.csv,17,"Thế_giới di_động đổi_thay , điện_thoại mình bị lỗi không gửi nhận tin nhắn cuộc"
honor-x8b,"Chíp mà tối ưu tốt thật, thiết kế đẹp, bộ nhớ cao, thao tác",5,ratings\honor-x8b.csv,14,"Chíp mà tối_ưu tốt thật , thiết_kế đẹp , bộ_nhớ cao , thao_tác"
honor-x8b,"nhanh hết pin, sạc đầy pin để ngày không dùng gì mà pin gần hết,",3,ratings\honor-x8b.csv,15,"nhanh hết pin , sạc đầy pin để ngày không dùng gì mà pin gần hết ,"
honor-x8b,Mới mua được tuần có đổi trả được không ạ?,3,ratings\honor-x8b.csv,10,Mới mua được tuần có đổi trả được không ạ ?
honor-x8b,"Máy ok, dùng rất thích, chụp hình đẹp, với cái giá hơn 6tr thì",5,ratings\honor-x8b.csv,14,"Máy ok , dùng rất thích , chụp hình đẹp , với cái giá hơn 6 tr thì"
honor-x8b,"Máy mới dùng mà loa bị rè, nghe không rõ, lỗi do điện thoại thì",3,ratings\honor-x8b.csv,15,"Máy mới dùng mà loa bị rè , nghe không rõ , lỗi do điện_thoại thì"
honor-x8b,"Mạng yếu hay mất sóng, đổi máy khác được không?",1,ratings\honor-x8b.csv,10,"Mạng_yếu hay mất sóng , đổi máy khác được không ?"
honor-x8b,"Mọi thứ đều ok nha, chức năng ổn áp lắm, điểm trừ duy nhất là quay",4,ratings\honor-x8b.csv,16,"Mọi thứ đều ok_nha , chức_năng ổn_áp lắm , điểm trừ duy_nhất là quay"
honor-x8b,Nhìn qua mọi người cứ hỏi mới mua iphone à sau tuần sử dụng thấy mọi thứ đều,5,ratings\honor-x8b.csv,18,Nhìn qua mọi người cứ hỏi mới mua iphone à sau tuần sử_dụng thấy mọi thứ đều
honor-x8b,"Mình mơi mua ngày nhưng thấy không hài lòng camera, thấy kém xem ảnh bị giật",3,ratings\honor-x8b.csv,16,"Mình mơi mua ngày nhưng thấy không hài_lòng camera , thấy kém xem ảnh bị giật"
honor-x8b,"Tuyệt vời, với số tiền hơn tr , cô chủ cửa hàng rất đáng yêu",5,ratings\honor-x8b.csv,15,"Tuyệt_vời , với số tiền hơn tr , cô chủ cửa_hàng rất đáng yêu"
honor-x8b,May chay trong tam gia nay qua on moi man hinh dep pin lion,5,ratings\honor-x8b.csv,14,May_chay trong tam_gia_nay qua on moi_man hinh dep pin lion
honor-x8b,"Pin hết nhanh, đã nhiệm kém.",3,ratings\honor-x8b.csv,6,"Pin hết nhanh , đã nhiệm_kém ."
honor-x8b,Pin không bằng các loại cùng tầm nhưng sài cũng không khác mấy mà mình thấy,5,ratings\honor-x8b.csv,16,Pin không bằng các loại cùng tầm nhưng sài cũng không khác mấy mà mình thấy
honor-x8b,"Máy chạy mượt, pin sài bình thường, cam đẹp, màn hình hoàn",4,ratings\honor-x8b.csv,12,"Máy chạy mượt , pin_sài bình_thường , cam_đẹp , màn_hình hoàn"
honor-x8b,"Mới mua được ngày sạc 35w, chậm hơn 33w để qua đêm, tụ",3,ratings\honor-x8b.csv,13,"Mới mua được ngày sạc 35 w , chậm hơn 33 w để qua đêm , tụ"
honor-x8b,Em mới mua máy dùng được ngày mà em muốn giả lại có được không ạ?,3,ratings\honor-x8b.csv,16,Em mới mua máy dùng được ngày mà em muốn giả lại có được không ạ ?
honor-x8b,"Máy đẹp, rất mượt, rất tốt, nên mua.",5,ratings\honor-x8b.csv,8,"Máy đẹp , rất mượt , rất tốt , nên mua ."
honor-x8b,"Em mới mua được tháng, bán lại thì mất bao nhiêu ạ?",5,ratings\honor-x8b.csv,12,"Em mới mua được tháng , bán lại thì mất bao_nhiêu ạ ?"
honor-x8b,Mình mới mua chưa được tháng nhưng bị rơi vỡ có đổi được không?,5,ratings\honor-x8b.csv,14,Mình mới mua chưa được tháng nhưng bị rơi vỡ có đổi được không ?
honor-x8b,Cho hỏi đã dán màn hình luôn chưa vậy ạ?,4,ratings\honor-x8b.csv,10,Cho hỏi đã dán màn_hình luôn chưa vậy ạ ?
honor-x8b,ok!,5,ratings\honor-x8b.csv,1,ok !
honor-x8b,Nói chung máy mượt nhưng chỉnh độ sáng tự động mà ra ngoài trời nắng trở vào,3,ratings\honor-x8b.csv,17,Nói_chung máy_mượt nhưng chỉnh_độ sáng tự_động mà ra ngoài_trời nắng trở vào
honor-x8b,"Điện thoại xài rất ok, trong tầm giá mọi người nên mua để trải nghiệm",5,ratings\honor-x8b.csv,15,"Điện_thoại xài rất ok , trong tầm_giá mọi người nên mua để trải_nghiệm"
honor-x8b,mấy em đẹp.,5,ratings\honor-x8b.csv,3,mấy em đẹp .
honor-x8b,không có tính năng NC.,4,ratings\honor-x8b.csv,5,không có tính_năng NC .
honor-x8b,"Mua được gần tháng, máy khá ok, mạnh, mượt, sạc nhanh,",5,ratings\honor-x8b.csv,11,"Mua được gần tháng , máy khá ok , mạnh , mượt , sạc nhanh ,"
honor-x8b,"Đã mua sản phẩm này sử dụng thấy rất ổn, app mượt, nhẹ tay,",5,ratings\honor-x8b.csv,14,"Đã mua sản_phẩm này sử_dụng thấy rất ổn , app_mượt , nhẹ_tay ,"
honor-x8b,"Mình mới mua được hơn tuần, gọi điện zalo messenger rung lắc mặc dù mạng wifi",3,ratings\honor-x8b.csv,16,"Mình mới mua được hơn tuần , gọi điện zalo messenger rung_lắc mặc_dù mạng wifi"
iphone-12,"Mua máy lướt được hôm đã lỗi loa ngoài, lúc bán nhân viên không",1,ratings\iphone-12.csv,14,"Mua máy lướt được hôm đã lỗi loa ngoài , lúc bán nhân_viên không"
iphone-12,Mới mua mà dễ nóng quá khi sạc và nhất là bật máy ảnh vài phút là,2,ratings\iphone-12.csv,17,Mới mua mà dễ nóng quá khi sạc và nhất_là bật máy_ảnh vài phút là
iphone-12,"Tôi mới dùng khoảng tháng, mong thế giới di động hướng dẫn cách dùng sim iphone,",5,ratings\iphone-12.csv,16,"Tôi mới dùng khoảng tháng , mong thế_giới di_động hướng_dẫn cách dùng sim iphone ,"
