product_id,comment,comment_clean,rating
honor-x8b,đừng mua không có linh kiện,đừng mua không_có linh_kiện,1
honor-x8b,máy sao cũng được ghét nhất cái zalo vui nó báo hiện tên cuộc gọi,máy ghét_nhất zalo vui báo hiện gọi,3
honor-x8b,chiếc điện thoại mỏng nhất tôi từng dùng cũng là chip trên máy này mượt hơn,điện_thoại mỏng chip máy mượt,5
honor-x8b,sao hôm tôi mua lại không được tặng tai nghe như trong giới thiệu nhỉ hôm đấy,hôm mua không tặng tai_nghe giới_thiệu hôm đấy,4
honor-x8b,em mua được tuần trả lại mất bao nhiêu ạ,mua tuần trả bao_nhiêu,3
honor-x8b,thế giới di động có cường lực của honor không ạ,giới di_động cường_lực honor không,4
honor-x8b,không có nhưng rất tiếc honor quá lạc hậu so với nhiều hãng hiệu năng tạm,không_có tiếc_honor lạc_hậu hãng hiệu_năng tạm,4
honor-x8b,mua online bên này báo ngoài tp ra thì hàng không có full box máy nhìn,mua online báo tp hàng không_có full box máy,2
honor-x8b,tốt nhưng máy này có phím ảo sao màn hình vậy,tốt máy phím_ảo màn_hình,5
honor-x8b,máy này không có hổ trợ thẻ nhớ ngoài hả store,máy không_có hổ_trợ thẻ hả store,4
honor-x8b,máy dùng rất ngon mượt rất đẹp không hài lòng lắm khi nhân viên,máy ngon_mượt đẹp không hài_lòng lắm nhân_viên,5
honor-x8b,trao đổi khi điện thoại mình bị lỗi không gửi nhận tin nhắn cuộc gọi được,trao_đổi điện_thoại lỗi không gửi nhắn gọi,5
honor-x8b,chọn màu tối ưu tốt thật thiết kế đẹp bộ nhớ cao thao,màu tối_ưu tốt thiết_kế đẹp thao,5
honor-x8b,nhanh hết pin sạc đầy pin để ngày không dùng gì mà pin gần,nhanh hết pin sạc pin không pin,3
honor-x8b,mới mua được tuần có đổi trả được không ạ,mới mua tuần đổi trả không,3
honor-x8b,máy ok dùng rất thích chụp hình đẹp với cái giá hơn 6tr thì,máy ok chụp hình đẹp giá 6 tr,5
