product_id,comment,comment_clean_stage1,rating
mobell-m239,Ok,ok!,5
mobell-m239,Nghe rõ chữ to,nghe rõ chữ to.,5
mobell-m239,"Sử dụng tốt, rất ok","sử dụng tốt, rất ok.",5
mobell-m239,Bị lôi mới đổi lại cái moi,bị lôi mới đổi lại cái mới.,1
mobell-m239,Rất tốt,rất tốt.,5
mobell-m239,Tốt,tốt.,5
mobell-m239,Ok,ok!,5
mobell-m239,Chưa sạc lần nào cục sạc đã hư,chưa sạc lần nào cục sạc đã hư.,2
mobell-m239,Mua lại máy đã qua sử dụng nói chung pin cũng ổn. Nhiều người đánh giá nói nhanh hết pin mặc dù không nghe gọi gì nhiều theo mình nghĩ chắc là tùy chiếc nhanh hết pin có chiếc không. Cũng tùy theo cách sạc điện thoại nữa. Đánh giá chung thì máy loa to nghe gọi rõ. Phím bấm nhẹ. Tuy nhiên máy chỉ có thể chụp ảnh và xem ảnh nghe nhạc chứ không xem được video và quay phim như thông số trên website của ĐMX đề cập. Một điều bất tiện ở chiếc điện thoại này là mỗi lần muốn xem nhật ký cuộc gọi đến hoặc cuộc gọi nhỡ thì phải vào phần cài đặt rồi chọn nhật ký cuộc gọi mới có thể xem. Về phần kết nối thì máy kết nối Bluetooth với tai nghe nhanh âm thanh rõ không bị giật hay mất tiếng. Cám ơn Đmx,"mua lại máy đã qua sử dụng, nói chung pin cũng ổn. nhiều người đánh giá nói nhanh hết pin mặc dù không nghe gọi gì nhiều, theo mình nghĩ chắc là có chiếc nhanh hết pin có chiếc không. cũng theo cách sạc điện thoại nữa. đánh giá chung thì máy loa to, nghe gọi rõ. phím bấm nhẹ. tuy nhiên máy chỉ có thể chụp ảnh và xem ảnh, nghe nhạc chứ không xem được video và quay phim như thông số trên website của điện máy xanh đề cập. một điều bất tiện ở chiếc điện thoại này là mỗi lần muốn xem nhật ký cuộc gọi đến hoặc cuộc gọi nhỡ thì phải vào phần cài đặt rồi chọn nhật ký cuộc gọi mới có thể xem. về phần kết nối thì máy kết nối bluetooth với tai nghe nhanh, âm thanh rõ, không bị giật hay mất tiếng. cám ơn điện máy xanh.",3
mobell-m239,Máy phổ thông mà pin khá yếu chỉ được 1 ngày dù nghe gọi rất ít,"máy phổ thông mà pin khá yếu, chỉ được một ngày dù nghe gọi rất ít.",2
mobell-m239,Ok,ok!,5
mobell-m239,Điện thoại xài tốt anh giao hàng nhiệt tình vui vẻ,"điện thoại xài tốt, anh giao hàng nhiệt tình vui vẻ.",5
mobell-m239,Rất Tốt.,rất tốt.,5
mobell-m239,Pin nhanh hết Không dùng cũng bị tụt pin nhanh,"pin nhanh hết, không dùng cũng bị tụt pin nhanh.",3
mobell-m239,Ok cùi bắp sài khá tốt,"ok, cùi bắp sài khá tốt.",5
mobell-m239,Okokokokokokokok ok và ok,"ok, koko, koko, ok và ok.",5
mobell-m239,Pun dùng nhanh hết ngày nào cũng phải sạc trong khi dùng không nhiều,"pin dùng nhanh hết, ngày nào cũng phải sạc trong khi dùng không nhiều.",2
mobell-m239,sản phẩm sử dụng ok,sản phẩm sử dụng ok.,4
mobell-m239,Bình thường,bình thường.,3
mobell-m239,Máy dung ổn với tính năng,máy dùng ổn với tính năng.,5
