word,is_stopword
a_lô,1
a_ha,1
ai,0
ai_ai,1
ai_nấy,1
ai_đó,1
alô,1
amen,1
anh,1
anh_ấy,1
ba,1
ba_ba,1
ba_bản,1
ba_cùng,1
ba_họ,1
ba_ngày,1
ba_ngôi,1
ba_tăng,1
bao_giờ,0
bao_lâu,0
bao_nhiêu,0
bao_nả,1
bay_biến,0
biết,0
biết_bao,1
biết_bao_nhiêu,0
biết_chắc,0
biết_chừng_nào,0
biết_mình,1
biết_mấy,1
biết_thế,0
biết_trước,1
biết_việc,1
biết_đâu,0
biết_đâu_chừng,0
biết_đâu_đấy,0
biết_được,1
buổi,1
buổi_làm,1
buổi_mới,1
buổi_ngày,1
buổi_sớm,1
bà,1
bà_ấy,1
bài,1
bài_bác,0
bài_bỏ,0
bài_cái,1
bác,1
bán,0
bán_cấp,1
bán_dạ,1
bán_thế,1
bây_bẩy,1
bây_chừ,1
bây_giờ,1
bây_nhiêu,1
bèn,1
béng,1
bên,0
bên_bị,1
bên_có,1
bên_cạnh,1
bông,1
bước,1
bước_khỏi,1
bước_tới,1
bước_đi,1
bạn,1
bản,1
bản_bộ,1
bản_riêng,1
bản_thân,1
bản_ý,1
bất_chợt,1
bất_cứ,1
bất_giác,1
bất_kì,1
bất_kể,1
bất_kỳ,1
bất_luận,1
bất_ngờ,0
bất_nhược,1
bất_quá,0
bất_quá_chỉ,1
bất_thình_lình,1
bất_tử,1
bất_đồ,1
bấy,1
bấy_chầy,1
bấy_chừ,1
bấy_giờ,1
bấy_lâu,1
bấy_lâu_nay,1
bấy_nay,1
bấy_nhiêu,1
bập_bà_bập_bõm,0
bập_bõm,0
bắt_đầu,1
bắt_đầu_từ,1
bằng,0
bằng_cứ,1
bằng_không,1
bằng_người,1
bằng_nhau,0
bằng_như,1
bằng_nào,1
bằng_nấy,1
bằng_vào,1
bằng_được,1
bằng_ấy,1
bển,1
bệt,1
bị,0
bị_chú,1
bị_vì,0
bỏ,0
bỏ_bà,0
bỏ_cha,0
bỏ_cuộc,0
bỏ_không,1
bỏ_lại,1
bỏ_mình,1
bỏ_mất,0
bỏ_mẹ,0
bỏ_nhỏ,1
bỏ_quá,1
bỏ_ra,1
bỏ_riêng,1
bỏ_việc,1
bỏ_xa,0
bỗng,1
bỗng_chốc,1
bỗng_dưng,1
bỗng_không,1
bỗng_nhiên,1
bỗng_nhưng,1
bỗng_thấy,1
bỗng_đâu,1
bộ,1
bộ_thuộc,1
bộ_điều,1
bội_phần,0
bớ,1
bởi,1
bởi_ai,1
bởi_chưng,1
bởi_nhưng,1
bởi_sao,0
bởi_thế,1
bởi_thế_cho_nên,1
bởi_tại,1
bởi_vì,1
bởi_vậy,1
bởi_đâu,0
bức,0
cao,0
cao_lâu,1
cao_ráo,0
cao_răng,1
cao_sang,0
cao_số,0
cao_thấp,0
cao_thế,0
cao_xa,0
cha,1
cha_chả,0
chao_ôi,0
chia_sẻ,0
chiếc,1
cho,1
cho_biết,1
cho_chắc,1
cho_hay,1
cho_nhau,1
cho_nên,1
cho_rằng,1
cho_rồi,1
cho_thấy,1
cho_tin,1
cho_tới,1
cho_tới_khi,1
cho_về,1
cho_ăn,1
cho_đang,1
cho_được,1
cho_đến,1
cho_đến_khi,1
cho_đến_nỗi,0
choa,0
chu_cha,0
chui_cha,0
chung,1
chung_cho,1
chung_chung,0
chung_cuộc,1
chung_cục,1
chung_nhau,1
chung_qui,1
chung_quy,1
chung_quy_lại,1
chung_ái,1
chuyển,0
chuyển_tự,1
chuyển_đạt,1
chuyện,1
chuẩn_bị,1
chành_chạnh,1
chí_chết,0
chính,0
chính_bản,1
chính_giữa,1
chính_là,1
chính_thị,1
chính_điểm,1
chùn_chùn,0
chùn_chũn,0
chú,1
chú_dẫn,1
chú_khách,1
chú_mày,1
chú_mình,1
chúng,1
chúng_mình,1
chúng_ta,1
chúng_tôi,1
chúng_ông,1
chăn_chắn,1
chăng,0
chăng_chắc,0
chăng_nữa,1
chơi,0
chơi_họ,1
chưa,0
chưa_bao_giờ,0
chưa_chắc,0
chưa_có,0
chưa_cần,0
chưa_dùng,0
chưa_dễ,0
chưa_kể,0
chưa_tính,0
chưa_từng,0
chầm_chập,0
chậc,0
chắc,0
chắc_chắn,0
chắc_dạ,0
chắc_hẳn,0
chắc_lòng,0
chắc_người,0
chắc_vào,0
chắc_ăn,0
