product_id,comment,comment_clean,rating,label
honor-x8b,máy sao cũng được ghét nhất cái zalo vui nó báo hiện tên cuộc gọi,máy ghét zalo vui báo hiện cuộc_gọi,3,negative
honor-x8b,chiếc điện thoại mỏng nhất tôi từng dùng cũng là chip trên máy này mượt hơn,điện_thoại mỏng chip máy mượt,5,positive
honor-x8b,sao hôm tôi mua lại không được tặng tai nghe như trong giới thiệu nhỉ hôm đấy,hôm mua không tặng tai giới_thiệu hôm đấy,4,positive
honor-x8b,em mua được tuần trả lại mất bao nhiêu ạ,mua tuần trả bao nhiêu,3,negative
honor-x8b,thế giới di động có cường lực của honor không ạ,thế_giới di_động cường_lực honor không,4,positive
honor-x8b,không có nhưng rất tiếc honor quá lạc hậu so với nhiều hãng hiệu năng tạm,không tiếc honor lạc_hậu hãng hiệu_năng tạm,4,positive
honor-x8b,tốt nhưng máy này có phím ảo sao màn hình vậy,tốt máy phím ảo màn_hình,5,positive
honor-x8b,máy này không có hổ trợ thẻ nhớ ngoài hả store,máy không hổ trợ thẻ_nhớ hả store,4,positive
honor-x8b,máy dùng rất ngon mượt rất đẹp không hài lòng lắm khi nhân viên,máy ngon mượt đẹp không hài lắm nhân_viên,5,positive
honor-x8b,trao đổi khi điện thoại mình bị lỗi không gửi nhận tin nhắn cuộc gọi được,trao_đổi điện_thoại lỗi không gửi tin_nhắn cuộc_gọi,5,positive
honor-x8b,chọn màu tối ưu tốt thật thiết kế đẹp bộ nhớ cao thao,màu tối_ưu tốt thiết_kế đẹp bộ_nhớ thao,5,positive
honor-x8b,nhanh hết pin sạc đầy pin để ngày không dùng gì mà pin gần,nhanh hết pin sạc pin không pin,3,negative
honor-x8b,mới mua được tuần có đổi trả được không ạ,mới mua tuần đổi trả không,3,negative
honor-x8b,máy ok dùng rất thích chụp hình đẹp với cái giá hơn 6tr thì,máy ok chụp hình đẹp giá,5,positive
honor-x8b,máy mới dùng mà loa bị rè nghe không rõ lỗi do điện thoại,máy mới loa rè không lỗi điện_thoại,3,negative
honor-x8b,mọi thứ đều ok nha chức năng ổn áp lắm điểm trừ duy nhất là quay,ok nha chức_năng ổn_áp lắm điểm trừ duy_nhất,4,positive
honor-x8b,nhìn qua mọi người cứ hỏi mới mua iphone à sau tuần sử dụng thấy mọi thứ,mới mua iphone tuần,5,positive
honor-x8b,mình mới mua ngày nhưng thấy không hài lòng camera thấy kém xem ảnh bị giật,mới mua không hài camera kém ảnh giật,3,negative
honor-x8b,tuyệt vời với số tiền hơn trẻ cô chủ cửa hàng rất đáng yêu,tuyệt_vời tiền trẻ chủ cửa_hàng đáng_yêu,5,positive
honor-x8b,máy chạy trong tam gia nay qua on moi man hinh dep pin lion,máy chạy trong_tam gia on moi man_hinh dep pin lion,5,positive
honor-x8b,pin hết nhanh đã nhiệm kém,pin hết nhanh nhiệm kém,3,negative
honor-x8b,pin không bằng các loại cùng tầm nhưng sài cũng không khác mấy mà mình thấy,pin không tầm sài không mấy,5,positive
honor-x8b,máy chạy mượt pin sài bình thường camera đẹp màn hình hoàn,máy chạy mượt pin sài bình_thường camera đẹp màn_hình hoàn,4,positive
honor-x8b,mới mua được ngày sạc 35w chậm hơn 33w để qua đêm tụt,mới mua sạc 35 w chậm 33 w đêm tụt,3,negative
honor-x8b,em mới mua máy dùng được ngày mà em muốn giả lại có được không ạ,mới mua máy giả không,3,negative
honor-x8b,máy đẹp rất mượt rất tốt nên mua,máy đẹp mượt tốt mua,5,positive
honor-x8b,em mới mua được tháng bán lại thì mất bao nhiêu ạ,mới mua bao nhiêu,5,positive
honor-x8b,mình mới mua chưa được tháng nhưng bị rơi vỡ có đổi được không,mới mua rơi vỡ đổi không,5,positive
honor-x8b,cho hỏi đã dán màn hình luôn chưa vậy ạ,dán màn_hình,4,positive
honor-x8b,ok,ok,5,positive
honor-x8b,nói chung máy mượt nhưng chỉnh độ sáng tự động mà ra ngoài trời nắng trở vào,máy mượt chỉnh độ tự_động ngoài_trời nắng trở,3,negative
honor-x8b,điện thoại xài rất ok trong tầm giá mọi người nên mua để trải nghiệm,điện_thoại xài ok tầm giá mua trải_nghiệm,5,positive
honor-x8b,mấy em đẹp mấy em đẹp,mấy đẹp mấy đẹp,5,positive
honor-x8b,máy có tính năng nc,máy tính_năng nc,4,positive
honor-x8b,mua được gần tháng máy khá ok mạnh mượt sạc nhanh,mua máy khá ok mượt sạc nhanh,5,positive
honor-x8b,đã mua sản phẩm này sử dụng thấy rất ổn app mượt nhẹ tay,mua sản_phẩm ổn app mượt nhẹ,5,positive
honor-x8b,mình mới mua được hơn tuần gọi điện zalo messenger rung lắc mặc dù mạng wifi,mới mua tuần gọi điện zalo messenger rung lắc mặc mạng wifi,3,negative
iphone-12,tôi mới dùng khoảng tháng mong thế giới di động hướng dẫn cách dùng sim iphone tôi đang dùng sim vật lý muốn dùng thêm sim nữa cho tiện công việc,mới mong thế_giới di_động hướng_dẫn sim iphone sim vật_lý sim tiện công_việc,5,positive
iphone-12,xài lúc vừa ra tới hầm quá ok,xài hầm ok,5,positive
iphone-12,tạm ổn nhưng pin hôm mua còn về sài hôm thì tụt xuống còn lại tất cả đều ok,tạm ổn pin hôm mua sài hôm tụt xuống ok,3,negative
iphone-12,bên mình có bán airtag đi kèm không ạ,airtag đi kèm không,4,positive
iphone-12,hiện tại sức tốt,sức tốt,4,positive
iphone-12,sản phẩm sài ok lắm,sản_phẩm sài ok lắm,5,positive
iphone-12,mới dùng được tuần máy vẫn ổn định thời gian dài hơn thì chưa biết thế nào nói chung là đồ điện tử thì máy hơn không,mới tuần máy ổn_định thời_gian đồ điện_tử máy không,4,positive
iphone-12,điện thoại mua được gần tháng lúc trước dùng bình thường nhưng gần đây chỉ lướt fb cũng rất nóng mong được phản hồi,điện_thoại mua bình_thường lướt nóng mong phản_hồi,4,positive
iphone-12,sản phẩm tốt,sản_phẩm tốt,5,positive
iphone-12,hàng rất ok,hàng ok,5,positive
iphone-12,ok,ok,5,positive
iphone-12,ok tốt,ok tốt,5,positive
iphone-12,tốt,tốt,5,positive
iphone-12,đẹp lắm ạ máy đẹp thank shop,đẹp lắm máy đẹp thank shop,5,positive
iphone-12,màu đẹp dùng rất ok,màu đẹp ok,5,positive
iphone-12,ưng cái màu máy,ưng màu máy,5,positive
iphone-12,đang xài bình thường máy ngoại hình phù hợp con gái hơn nam cầm cảm giác hơi nhẹ tay,xài bình_thường máy ngoại_hình con_gái nam cầm cảm_giác hơi nhẹ,4,positive
iphone-12,cho mình hỏi dế mình mua bên thế giới di động mà giờ nó bị hư mình có thể đem ra điện máy xanh gửi sửa chữa được chứ,dế mua thế_giới di_động hư thể đem điện_máy xanh gửi sửa_chữa,5,positive
iphone-12,tốt,tốt,5,positive
iphone-12,ok,ok,4,positive
iphone-12,nhanh màn hình không sáng lắm,nhanh màn_hình không lắm,4,positive
iphone-12,tốt,tốt,4,positive
iphone-12,tốt,tốt,5,positive
iphone-12,có dây sạc mà không có củ sạc,dây sạc không củ sạc,3,negative
iphone-12,very good,very good,5,positive
iphone-12,số tốt,tốt,4,positive
iphone-12,ok tốt á,ok tốt,4,positive
iphone-12,hàng ok,hàng ok,5,positive
iphone-12,rất ok,ok,5,positive
iphone-12,do máy trải nghiệm nên màn hơi vàng chút xíu,máy trải_nghiệm màn hơi vàng chút_xíu,3,negative
iphone-12,cám ơn thế giới di động,cám_ơn thế_giới di_động,5,positive
iphone-12,tốt,tốt,5,positive
iphone-12,dùng mượt hơn sau cùng,mượt,4,positive
iphone-12,sản phẩm dùng rất tốt mình không game chỉ quay phim chụp hình như vậy là quá đủ,sản_phẩm tốt không game phim chụp hình_như,5,positive
iphone-12,rất tốt,tốt,5,positive
iphone-12,good,good,5,positive
iphone-12,tốt,tốt,5,positive
iphone-12,sản phẩm rất đẹp dùng mượt chưa thấy lỗi nào,sản_phẩm đẹp mượt lỗi,5,positive
iphone-12,ok,ok,5,positive
iphone-12,sản phẩm chất lượng,sản_phẩm chất_lượng,4,positive
iphone-12,sản phẩm này tốt,sản_phẩm tốt,4,positive
iphone-12,đã sử dụng ok không có vấn đề gì,ok không vấn_đề,5,positive
iphone-12,hàng tốt nhé mọi người,hàng tốt,4,positive
iphone-12,ổn mượt,ổn mượt,5,positive
iphone-12,ok,ok,5,positive
iphone-12,trải nghiệm thú vị,trải_nghiệm thú_vị,4,positive
iphone-12,chưa thấy lỗi gì,lỗi,4,positive
iphone-12,máy bắt wifi yếu đã đổi trả lần,máy bắt wifi yếu đổi trả,3,negative
iphone-12,sản phẩm tốt,sản_phẩm tốt,4,positive
iphone-12,sản phẩm dùng rất ok,sản_phẩm ok,4,positive
iphone-12,rất tốt,tốt,5,positive
