product_id,comment,comment_clean,rating
mobell-m331,mở đèn pin ở chỗ nào vậy ạ em kiếm không thấy,đèn_pin chỗ kiếm không,3
mobell-m331,tốt,tốt,4
mobell-m331,rất tốt,tốt,5
mobell-m331,nhanh hết pin,nhanh hết pin,3
mobell-m331,tốt,tốt,5
mobell-m331,tốt giá như có rung khi kết nối gọi thì ok hơn nhiều,tốt giá rung kết_nối gọi ok,4
mobell-m539,sao sim mình 4g nhưng xài điện thoại này báo không có sóng xài điện thoại khác bình thường,sim 4g xài điện_thoại báo không sóng xài điện_thoại bình_thường,3
mobell-m539,điện thoại motorola m539 4g sóng khoẻ nghe rõ âm thanh trung thực phím bấm to và dễ bấm rất phù hợp cho những người lớn tuổi không cần nhiều ứng dụng thông minh giá cả phù hợp với mọi đối tượng,điện_thoại motorola m539 4g sóng khoẻ âm_thanh trung_thực phím bấm to dễ bấm người_lớn không ứng_dụng thông_minh giá_cả đối_tượng,5
mobell-m539,sản phẩm nghe gọi rất rõ,sản_phẩm gọi,5
mobell-m539,nghe loa trong mà âm thanh vẫn dội ra ngoài từ phía sau nên nghe rất nhỏ rất bất tiện khi nghe gọi thoại nếu gặp trường hợp nói chuyện nơi ồn thì rất khó nghe phải lật điện thoại lại phía sau để nghe,loa âm_thanh dội nhỏ bất_tiện gọi thoại trường_hợp nói_chuyện ồn lật điện_thoại,4
mobell-m539,mượt như iphone vậy mấy má,mượt iphone mấy má,5
mobell-m539,tôi mới mua dùng rất tốt nhưng lại không thể nghe đài fm được thế giới di động ạ,mới mua tốt không thể đài fm thế_giới di_động,5
mobell-m539,tốt,tốt,5
mobell-m539,điện thoại đã qua sử dụng nhưng dùng vẫn tốt ít nghe gọi pin được khoảng gần tuần nhân viên dễ nhiệt tình thân thiện,điện_thoại tốt gọi pin tuần nhân_viên dễ nhiệt_tình thân_thiện,5
mobell-m539,tạm ổn,tạm ổn,4
mobell-m539,dùng tốt,tốt,5
mobell-m539,sản phẩm tốt,sản_phẩm tốt,5
mobell-m539,điện thoại giá rẻ rất ok,điện_thoại giá rẻ ok,4
mobell-m539,tốt,tốt,5
mobell-m539,máy đã qua sử dụng nhưng pin dùng vẫn lâu nghe gọi được ngày để máy chờ được ngày,máy pin gọi máy chờ,5
mobell-m539,hiện tại tôi đang sử dụng điện thoại tầm ôn về lâu dài chưa biết được cảm ơn thế giới di động quan tâm đến khách hàng,điện_thoại tầm ôn lâu_dài thế_giới di_động khách_hàng,3
mobell-m539,máy dùng ổn loa to rõ cho người cao tuổi,máy ổn loa to cao_tuổi,5
mobell-m539,máy rất tốt đầy đủ mọi chức năng nhanh nhạy màu sắc đẹp dễ sử dụng máy mới tinh tôi rất hài lòng,máy tốt đầy_đủ chức_năng nhanh_nhạy màu_sắc đẹp dễ máy mới_tinh hài,5
mobell-m539,pin trâu máy nghe gọi tốt,pin trâu máy gọi tốt,5
mobell-m539,màn hình chữ lớn dễ sử dụng loa lớn,màn_hình chữ dễ loa,5
mobell-m539,sản phẩm tốt,sản_phẩm tốt,4
mobell-m539,loa nghe rõ pin lâu hết,loa pin hết,5
mobell-m539,sản phẩm đẹp dễ sử dụng tôi rất thích,sản_phẩm đẹp dễ,5
mobell-m539,nó cứ hơi đơ đơ một chút,hơi đơ đơ chút,3
mobell-m539,tam on,tam on,4
mobell-m539,rất ấn tượng,ấn_tượng,5
